size,1 1⁄2,2,2 1⁄2,3,3 1⁄2,4,4 1⁄2,5,5 1⁄2,6,6 1⁄2,7,7 1⁄2,8,8 1⁄2,9,9 1⁄2,10,10 1/2,11,11 1/2,12,12 1/2,13,13 1/2,14,14 1/2,15,15 1/2,16,16 1/2,17,17 1/2,18,18 1/2,19,19 1/2,20
1,144,108,86,72,62,54,48,43,39,36,33,31,29,27,,,,,,,,,,,,,,,,,,,,,,,,
1,173,130,104,87,74,65,58,52,47,43,40,37,35,33,,,,,,,,,,,,,,,,,,,,,,,,
2,204,153,122,102,87,77,68,61,56,51,47,44,41,38,,,,,,,,,,,,,,,,,,,,,,,,
3,233,175,140,117,100,88,78,70,64,58,54,50,47,44,,,,,,,,,,,,,,,,,,,,,,,,
4,280,210,168,140,120,105,93,84,76,70,65,60,56,53,,,,,,,,,,,,,,,,,,,,,,,,
5,327,245,196,163,140,123,109,98,89,82,75,70,65,61,,,,,,,,,,,,,,,,,,,,,,,,
6,373,280,224,187,160,140,124,112,102,93,86,80,75,70,,,,,,,,,,,,,,,,,,,,,,,,
7,451,338,270,225,193,169,150,135,123,113,104,97,90,85,,,,,,,,,,,,,,,,,,,,,,,,
8,527,395,316,263,226,198,176,158,144,132,122,113,105,99,,,,,,,,,,,,,,,,,,,,,,,,
9,600,450,360,300,257,225,200,180,164,150,138,129,120,113,,,,,,,,,,,,,,,,,,,,,,,,
10,727,545,436,363,311,273,242,218,198,182,168,156,145,136,,,,,,,,,,,,,,,,,,,,,,,,
11,851,638,510,425,365,319,284,255,232,213,196,182,170,160,,,,,,,,,,,,,,,,,,,,,,,,
12,977,733,586,489,419,367,326,293,267,244,226,209,195,183,,,,,,,,,,,,,,,,,,,,,,,,
13,1177,883,706,589,505,442,392,353,321,294,272,252,235,221,,,,,,,,,,,,,,,,,,,,,,,,
14,1373,1030,824,687,589,515,458,412,375,343,317,294,275,258,,,,,,,,,,,,,,,,,,,,,,,,
15,1573,1180,944,787,674,590,524,472,429,393,363,337,315,295,,,,,,,,,,,,,,,,,,,,,,,,
16,1893,1420,1136,947,811,710,631,568,516,473,437,406,379,355,,,,,,,,,,,,,,,,,,,,,,,,
17,2217,1663,1330,1109,950,832,739,665,605,554,512,475,443,416,,,,,,,,,,,,,,,,,,,,,,,,
18,2540,1905,1524,1270,1089,953,847,762,693,635,586,544,508,476,,,,,,,,,,,,,,,,,,,,,,,,
19,,2025,1620,1350,1157,1013,900,810,736,675,623,579,540,506,448,423,401,381,,,,,,,,,,,,,,,,,,,,
19,,2025,1620,1350,1157,1013,900,810,736,675,623,579,540,506,476,450,426,405,,,,,,,,,,,,,,,,,,,,
20,,2145,1716,1430,1226,1073,953,858,780,715,660,613,572,536,505,477,452,429,,,,,,,,,,,,,,,,,,,,
21,,2335,1868,1557,1334,1168,1038,934,849,778,718,667,623,584,549,519,492,467,,,,,,,,,,,,,,,,,,,,
22,,2525,2020,1683,1443,1263,1122,1010,918,842,777,721,673,631,594,561,532,505,,,,,,,,,,,,,,,,,,,,
23,,2710,2168,1807,1549,1355,1204,1080,985,903,834,775,723,678,638,602,571,542,,,,,,,,,,,,,,,,,,,,
24,,2910,2328,1940,1663,1455,1293,1164,1058,970,895,831,776,728,685,647,613,582,,,,,,,,,,,,,,,,,,,,
25,,3110,2488,2073,1777,1555,1382,1244,1131,1037,957,889,829,778,732,691,655,622,,,,,,,,,,,,,,,,,,,,
26,,3310,2648,2207,1891,1655,1471,1324,1204,1103,1018,946,883,828,779,736,697,662,,,,,,,,,,,,,,,,,,,,
27,,3630,2904,2420,2074,1815,1613,1452,1320,1210,1117,1037,968,908,854,807,764,726,,,,,,,,,,,,,,,,,,,,
28,,3950,3160,2633,2257,1975,1756,1580,1436,1317,1215,1129,1053,988,929,878,832,790,,,,,,,,,,,,,,,,,,,,
29,,4270,3416,2847,2440,2135,1898,1708,1553,1423,1314,1220,1139,1068,1005,949,899,854,,,,,,,,,,,,,,,,,,,,
30,,4535,3628,3023,2591,2268,2016,1814,1649,1512,1395,1296,1209,1134,1067,1008,955,907,,,,,,,,,,,,,,,,,,,,
31,,4795,3836,3197,2740,2398,2131,1918,1744,1598,1475,1370,1279,1199,1128,1066,1009,959,,,,,,,,,,,,,,,,,,,,
32,,5060,4048,3373,2891,2530,2249,2024,1840,1687,1557,1446,1349,1265,1191,1124,1065,1012,,,,,,,,,,,,,,,,,,,,
33,,5295,4236,3530,3026,2648,2353,2118,1925,1765,1629,1513,1412,1324,1246,1177,1115,1059,,,,,,,,,,,,,,,,,,,,
34,,5525,4420,3683,3157,2763,2456,2210,2009,1842,1700,1579,1473,1381,1300,1228,1163,1105,,,,,,,,,,,,,,,,,,,,
35,,,4696,3913,3354,2935,2609,2348,2135,1957,1806,1677,1565,1468,1381,1304,1236,1174,1053,1005,962,922,885,851,819,790,,,,,,,,,,,,
35,,,4696,3913,3354,2935,2609,2348,2135,1957,1806,1677,1565,1468,1381,v,1236,1174,1118,1067,1021,978,939,903,870,838,,,,,,,,,,,,
36,,,4968,4140,3549,3105,2760,2484,2258,2070,1911,1774,1656,1553,1461,1380,1307,1242,1183,1129,1080,1035,994,955,920,887,,,,,,,,,,,,
37,,,5240,4367,3743,3275,2911,2620,2382,2183,2015,1871,1747,1638,1541,1456,1379,1310,1248,1191,1139,1092,1048,1008,970,936,,,,,,,,,,,,
38,,,5616,4680,4011,3510,3120,2808,2553,2340,2160,2006,1872,1755,1652,1560,1478,1404,1337,1276,1221,1170,1123,1080,1040,1003,,,,,,,,,,,,
39,,,5988,4990,4277,3743,3327,2994,2722,2495,2303,2139,1996,1871,1761,1663,1576,1497,1426,1361,1302,1247,1198,1151,1109,1069,,,,,,,,,,,,
40,,,6360,5300,4543,3975,3533,3180,2891,2650,2446,2271,2120,1988,1871,1767,1674,1590,1514,1445,1383,1325,1272,1223,1178,1136,,,,,,,,,,,,
41,,,6976,5813,4983,4360,3876,3488,3171,2907,2683,2491,2325,2180,2052,1938,1836,1744,1661,1585,1516,1453,1395,1341,1292,1246,,,,,,,,,,,,
42,,,7588,6323,5420,4743,4216,3794,3449,3162,2919,2710,2529,2371,2232,2108,1997,1897,1807,1724,1649,1581,1518,1459,1405,1355,,,,,,,,,,,,
43,,,8200,6833,5857,5125,4556,4100,3727,3417,3154,2929,2733,2563,2412,2278,2158,2050,1952,1863,1782,1708,1640,1577,1518,1464,,,,,,,,,,,,
44,,,8724,7270,6231,5453,4847,4362,3965,3635,3355,3116,2908,2726,2566,2423,2296,2181,2077,1983,1896,1817,1745,1678,1615,1558,,,,,,,,,,,,
45,,,9284,7737,6631,5803,5158,4642,4220,3868,3571,3316,3095,2901,2731,2579,2443,2321,2210,2110,2018,1934,1857,1785,1719,1658,,,,,,,,,,,,
46,,,9760,8133,6971,6100,5422,4880,4436,4067,3754,3486,3253,3050,2871,2711,2568,2440,2324,2218,2122,2033,1952,1877,1807,1743,,,,,,,,,,,,
47,,,10376,8647,7411,6485,5764,5188,4716,4323,3991,3706,3459,3243,3052,2882,2730,2594,2470,2358,2255,2162,2075,1995,1921,1853,,,,,,,,,,,,
48,,,10988,9157,7848,6868,6104,5494,4995,4578,4226,3924,3663,3434,3232,3052,2891,2747,2616,2497,2389,2289,2198,2113,2035,1962,,,,,,,,,,,,
