size,d,tw,bf,tf
W44x285,44,1,11.75,1.75
W44X248,43.625,0.875,11.75,1.5625
W44x224,43.25,0.8125,11.75,1.4375
W44x198,42.875,0.6875,11.75,1.25
W40x328,40,0.9375,17.875,1.75
W40x298,39.75,0.8125,17.875,1.5625
W40x268,39.375,0.75,17.75,1.4375
W40x244,39,0.6875,17.75,1.25
W40x221,38.625,0.6875,17.75,1.0625
W40x192,38.25,0.6875,17.75,0.8125
W40x655,43.625,2,16.875,3.5625
W40x593,43,1.8125,16.75,3.25
W40x531,42.375,1.625,16.5,2.9375
W40x480,41.75,1.4375,16.375,2.625
W40x436,41.375,1.3125,16.25,2.375
W40x397,41,1.25,16.125,2.1875
W40x362,40.5,1.125,16,2
W40x324,40.125,1,15.875,1.8125
W40x297,39.875,0.9375,15.875,1.625
W40x277,39.75,0.8125,15.875,1.5625
W40x249,39.375,0.75,15.75,1.4375
W40x215,39,0.625,15.75,1.25
W40x199,38.625,0.625,15.75,1.0625
W40x183,39,0.625,11.75,1.25
W40x167,38.625,0.625,11.75,1
W40x149,38.25,0.625,11.75,0.8125
W36x848,42.5,2.5,18.125,4.5
W36x798,42,2.375,18,4.3125
W36x720,41.25,2.1875,17.75,3.875
W36x650,40.5,2,17.625,3.5625
W36x588,39.875,1.8125,17.375,3.25
W36x527,39.25,1.625,17.25,2.9375
W36x485,38.75,1.5,17.125,2.6875
W36x439,38.25,1.375,17,2.4375
W36x393,37.75,1.25,16.875,2.1875
W36x359,37.375,1.125,16.75,2
W36x328,37.125,1,16.625,1.875
W36x300,36.75,0.9375,16.625,1.6875
W36x280,36.5,0.875,16.625,1.5625
W36x260,36.25,0.812,16.5,1.4375
W36x245,36.125,0.8125,16.5,1.375
W36x230,35.875,0.75,16.5,1.25
W36x256,37.375,1,12.25,1.75
W36x232,37.125,0.875,12.125,1.5625
W36x210,36.75,0.8125,12.125,1.375
W36x194,36.5,0.75,12.125,1.25
W36x182,36.375,0.75,12.125,1.1875
